BHK_NO.,SQUARE_FT,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
2,996.797438,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,24.9
2,985.0194952,"CV Raman Nagar,Bangalore",12.98556,77.66389,48
3,1118.75,"Medavakkam,Chennai",12.91716,80.19287,53.7
2,889.8305085,"Sector-137 Noida,Noida",28.506454,77.409568,42
3,2738.22563,"Basapura,Bangalore",12.863421,77.652405,150
4,1725.490196,"Deonar,Maharashtra",19.049513,72.919204,440
3,2488.004265,"Sector-82 Mohali,Mohali",30.654128,76.732427,140
3,1200.082764,"Satgachi,Kolkata",23.207157,88.404471,58
2,1584.283904,"Tilak Nagar,Kanpur",26.459137,79.506922,100
2,900,"Kalol,Gandhinagar",23.2257,72.51679,18
2,1193.440032,"Talegaon,Pune",18.441256,74.647361,60.4
2,1487.357462,"Mansarovar Extension,Jaipur",26.8626,75.7633,30
2,989.9029895,"Sector-143 Noida,Noida",28.5035,77.426447,50
2,1155.020213,"Bhandup (West),Maharashtra",19.147866,72.932609,140
2,949.893137,"Eswaran Koil Street,Pondicherry",11.93,79.83,80
2,875,"Sector-78 Noida,Noida",28.560719,77.386208,49
2,853.3611982,"Ananth Nagar,Bangalore",12.96991,77.59796,24.5
1,483.0917874,"Roha,Raigad",18.4543,73.1147,18
2,800,"Thane West,Maharashtra",19.18,72.96333,95
2,802.0415603,"Ankur Vihar,Ghaziabad",28.66667,77.41667,22
2,610.0660905,"Koyambedu,Chennai",13.069866,80.198423,48
3,1680.107527,"Naveen Nagar,Kanpur",28.861993,78.756315,75
2,1150.136038,"Nirman Nagar,Jaipur",19.980678,79.297436,93
3,1550.114497,"Sector-75 Noida,Noida",28.576117,77.382136,88
5,1699.834163,"Sahibabad,Ghaziabad",28.6711,77.3683,82
3,1600.170685,"Tripunithura,Kochi",9.952439,76.3632965,75
1,600.0566091,"Pen,Raigad",18.75,73.08,21.2
2,1429.200617,"Sector-66A Mohali,Mohali",30.661104,76.746082,64.9
2,1115.137998,"Dodda Banaswadi,Bangalore",13.008071,77.651295,80
4,2750.929368,"Sikandra,Agra",27.216013,77.950834,74
3,1811.196487,"Kanke,Ranchi",23.35556,85.33472,99
2,1045.036079,"Narendrapur,Kolkata",22.43917,88.39583,42
3,3433.996566,"Sector-65 Gurgaon,Gurgaon",28.403138,77.070052,340
3,1298.219585,"Electronics City Phase 1,Bangalore",12.840956,77.659441,70
2,1109.165207,"Katapady,Udupi",13.278237,74.747328,38
4,1304.034182,"Kanchpada,Maharashtra",18.96,72.82,470
2,1041.195111,"Sector-70 Noida,Noida",28.59632,77.38143,46
3,2135.748916,"Sector 82 Faridabad,Faridabad",28.394375,77.357227,83.7
3,1850.180505,"Noida Extension,Noida",28.579004,77.431173,82
3,1665.080875,"Kudasan,Gandhinagar",23.166495,72.63429,70
2,398.2621289,"Purseni,Lucknow",26.707154,80.982346,11
2,1005.025126,"Chandapura,Bangalore",12.80009,77.71182,48
4,4900.959771,"Kharadi,Pune",18.5438,73.9438,240
2,1294.016156,"4 Bunglows,Mumbai",19.128324,72.825408,330
3,1536.806516,"Sector-3 Vaishali,Ghaziabad",28.6423,77.3445,100
2,1123.188406,"Kaggadasapura,Bangalore",12.9816,77.6729,62
2,800.1939864,"Jhotwara,Jaipur",26.955346,75.734793,16.5
4,2655.807365,"Manpada,Maharashtra",19.239813,72.962722,300
3,1513.775356,"JP Nagar,Bangalore",12.905368,77.580403,100
3,1280,"Ponekkara,Kochi",9.930471,76.271273,48
1,410.0678733,"Sector-18 Vrindavan Colony,Lucknow",28.568846,77.324966,14.5
4,3429.355281,"Vasna Road,Vadodara",22.312063,72.674296,100
2,890.0451869,"Sector-25 Khandeshhwar,Mumbai",28.582887,77.339935,65
2,977.7082519,"Bicholi Mardana,Indore",22.1764,75.8193,25
2,1099.855282,"Syndicate Bank Colony,Bangalore",12.977126,77.577724,38
2,1050.241272,"Paota,Jodhpur",26.29564,73.03943,37
3,1400.241838,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,57.9
3,1740.139211,"Sector 19 Kharghar,Mumbai",19.048979,73.078232,180
2,1149.131767,"Marol,Lalitpur",24.69028,78.41889,180
2,650.1950585,"Vadavalli,Coimbatore",11.026678,76.903583,20
2,1355.01355,"Gopalpura Bypass,Jaipur",26.878068,75.779856,85
3,1800.072003,"Rasanna Colony,Bangalore",12.96991,77.59796,150
2,907.6305221,"Taloja,Maharashtra",21.56128,74.21238,33.9
3,1636.296021,"Budigere,Bangalore",13.141581,77.749756,88
2,900.2520706,"Tarsali,Vadodara",22.261354,73.215533,25
2,1318.044023,"Doddakannelli,Bangalore",12.905538,77.694263,100
3,1949.586451,"Sector-88 Mohali,Mohali",30.684523,76.691728,99
3,1643.36522,"Kakkanad,Kochi",9.930471,76.271273,67
3,1233.045623,"Kanjur Marg (East),Maharashtra",18.96,72.82,210
1,655.0802139,"Sector 20 Ulwe,Maharashtra",18.964489,73.019574,49
2,1180.173092,"Ferrar Nagar,Bangalore",12.96991,77.59796,75
3,1200.087279,"Sahibabad,Ghaziabad",28.6711,77.3683,55
4,6974.645114,"New Alipore,Kolkata",22.53028,88.33417,1700
4,2700.075602,"Sector-98 Noida,Noida",28.535689,77.359671,250
2,850.0991782,"Ajmer Road,Jaipur",26.928785,75.828002,30
4,2636.296531,"Konanakunte,Bangalore",12.8855,77.5638,250
2,900.0163639,"Roopena Agrahara,Bangalore",12.928575,77.585721,55
4,2472.952087,"NIBM,Pune",18.475864,73.890009,160
2,904.0656205,"Suraksha Nagar,Bangalore",20.098413,79.10786,50.7
1,265.0033933,"Andheri (East),Lalitpur",19.1145,72.8712,82
3,1570.306924,"Tonk Road,Jaipur",26.16667,75.78333,110
2,955.4140127,"Hiranandani Estate,Lalitpur",19.255098,72.9815265,150
2,1000,"Sector-53 Noida,Noida",28.593566,77.362752,60
4,2494.747899,"Kadugodi,Bangalore",12.995285,77.766797,95
2,1150.130348,"Villivakkam Near ICF Bus Stand,Chennai",13.1101,80.2095,75
2,1210.136674,"Kamothe,Mumbai",19.0168,73.09646,85
2,1365.001365,"Sector-11 Ghansoli,Mumbai",19.126499,72.99956,200
2,499.6366279,"Hiranandani Estate,Maharashtra",19.255098,72.9815265,110
2,1050.144395,"Manjalpur,Vadodara",22.271214,73.188827,40
1,476.0204689,"Madanandapuram,Chennai",13.020957,80.152774,40
2,985.452839,"Hajipur,Noida",28.538774,77.366515,21
2,1045.296167,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,24
2,1301.89498,"Sarjapur Road,Bangalore",12.86,77.786,90
2,2000,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,38
4,4465.709729,"Sector-108 Noida,Noida",28.526624,77.376718,280
2,1192,"Nayapalli,Bhubaneswar",20.286571,85.810906,59.6
3,1846.153846,"New Town,Kolkata",22.5922,88.484911,120
1,448.5310608,"Kanjur Marg (East),Mumbai",19.221571,73.042474,120
2,750.0604887,"Gyan Khand 2,Ghaziabad",28.66667,77.41667,31
2,1060.070671,"Roadpali,Maharashtra",19.040066,73.115347,72
3,1415.09434,"Electronic City Phase II,Bangalore",12.8458,77.6727,79.5
2,1160.062565,"Sector-35G Kharghar,Maharashtra",18.96,72.82,89
3,1690.024732,"Goregaon (East),Lalitpur",19.1615,72.8731,410
3,1672.762741,"Sector-143B Noida,Noida",28.495803,77.426848,68.6
2,1315.265046,"RM Park,Valsad",20.606469,72.913465,33
1,650.026001,"Kalyan (West),Mumbai",19.245347,73.124577,50
1,540.1755571,"Saphale,Palghar",19.585537,72.836868,16
3,1830.065359,"Suraksha Nagar,Bangalore",20.098413,79.10786,98
3,1575.157516,"Judges Enclave,Ghaziabad",28.66667,77.41667,70
3,1530,"Harlur Road,Bangalore",12.904179,77.665897,76.5
2,619.6377502,"Byagadadhenahalli,Bangalore",12.758604,77.700377,26
4,2200,"Citylight Area,Surat",21.17,72.83,110
3,1757.188498,"Action Area IID,Kolkata",40.67197199,-86.15292909,77
2,1087.885617,"Manpada,Mumbai",19.239813,72.962722,140
2,1199.862873,"Doddakallasandra,Bangalore",12.880993,77.557654,70
2,1265.035255,"Bhuvaneshwari Nagar,Bangalore",13.033421,77.603954,61
2,676.0453302,"Ganganagar,Kolkata",22.301625,88.242147,17.3
2,800,"Mohan Nagar,Ghaziabad",28.678014,77.38296,42
2,750.0750075,"Maheshtala,Kolkata",22.486821,88.233267,25
2,1500,"Anna Nagar West,Chennai",13.086769,80.191135,150
3,1814.285714,"Khandagiri,Bhubaneswar",20.257483,85.780142,88.9
3,1195.652174,"Ghodbunder Road,Lalitpur",24.69028,78.41889,110
3,1395.032324,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,41
2,850.1594049,"Palghar,Palghar",19.696531,72.767746,24
2,909.4339623,"Keelkattalai,Chennai",12.957707,80.183671,48.2
2,910.0937672,"Ramna,Varanasi",25.248438,83.014116,33
3,1850.070303,"Aga Abbas Ali Road,Bangalore",12.96991,77.59796,250
3,2069.857697,"Sector-107 Noida,Noida",28.546788,77.378494,160
2,820.0082001,"Thane West,Mumbai",19.18,72.96333,140
2,1241.80752,"Sargasan,Gandhinagar",23.182972,72.611485,36
3,1014.120668,"Kharadi,Maharashtra",18.5438,73.9438,79
4,2302.158273,"Sector-70 Mohali,Mohali",30.697795,76.714722,160
2,900.0782677,"Sector 35I Kharghar,Lalitpur",24.69028,78.41889,69
2,898.5074627,"Jalukbari,Guwahati",26.154874,91.670312,30.1
3,2235.294118,"C-Scheme,Jaipur",26.91667,75.86667,190
3,1350,"Sector-50 Noida,Noida",28.5679,77.3679,81
2,1100.110011,"Warje,Pune",18.485487,73.803773,70
1,612.1199755,"Mambakkam,Chennai",12.8356,80.1682,30
2,1100.352113,"Sai Nagar,Amravati",20.892133,77.741664,25
5,5194.805195,"Sector-128 Noida,Noida",28.522931,77.357078,400
3,1475.256769,"Sector-137 Noida,Noida",28.506454,77.409568,79
4,2780.191138,"Sector-79 Noida,Noida",28.558047,77.392752,160
1,300.0260892,"Kachimet,Lalitpur",24.69028,78.41889,11.5
2,1000,"Venkojipalem,Visakhapatnam",17.7,83.25,50
2,1532.720245,"Goregaon (East),Mumbai",19.1615,72.8731,230
2,995.8314034,"Sevasi,Vadodara",22.311323,73.121275,21.5
3,1646.706587,"Sector-90 Gurgaon,Gurgaon",28.406794,76.936447,110
4,2350.965575,"Sunny Enclave,Mohali",30.664299,76.817624,56
3,534.061239,"Sector 55 Faridabad,Faridabad",28.34532,77.299035,45
2,1100,"Majiwada,Mumbai",19.218498,72.992114,110
3,1968.888889,"GS Road,Guwahati",26.16667,91.76667,88.6
3,2196.354052,"Sector-110 Noida,Noida",28.536585,77.383669,100
4,2400,"Laxmi Nagar,Mumbai",22.281215,70.789479,300
2,1650.252861,"Hadapsar,Pune",18.49667,73.94167,62
2,632.0572845,"Vasai East,Mumbai",19.402549,72.854418,45.9
2,1034.965035,"Chinhat,Lucknow",26.882832,81.033767,37
2,965.0439631,"kavesar,Maharashtra",18.96,72.82,90
2,600.5495224,"Sus,Lalitpur",24.69028,78.41889,45.9
2,984.8484848,"Hiranandani Estate,Mumbai",19.255098,72.9815265,130
3,1700.060716,"Chembur,Mumbai",19.05871,72.89969,420
1,546.0145604,"Thane West,Mumbai",19.18,72.96333,58.5
2,1195.499297,"Karamsad,Anand",22.55,72.9,17
3,1677.468547,"Thakur Village,Mumbai",18.914541,72.818211,220
3,1699.716714,"Crossing Republik,Ghaziabad",28.629811,77.434197,48
2,1075.027996,"sector-121 Noida,Noida",28.602325,77.401994,48
1,485.790072,"Balkum,Mumbai",19.222101,72.988231,64.1
2,929.8998569,"Rajarajeshwari Nagar,Bangalore",12.919423,77.522774,52
3,1438.021283,"Hiranandani Gardens - Powai,Lalitpur",19.124896,72.893503,600
5,5299.954894,"Iblur Village,Bangalore",12.91668,77.59196,470
2,1020.181859,"Thanisandra,Bangalore",13.055985,77.622157,46
2,1070.135002,"Vaishali,Ghaziabad",28.6423,77.3445,65
2,2400.384061,"Tiruchanur,Tirupati",13.603543,79.460402,50
3,1767.388826,"Kompally,Secunderabad",17.546483,78.480303,77.5
1,524,"Tathawade,Pune",18.6182,73.7447,26.2
2,923.7875289,"Sector-63A Gurgaon,Gurgaon",28.359199,76.836683,120
3,1657.275439,"Banashankari Stage VI,Bangalore",12.9223,77.5532,100
2,680,"Mulund (West),Lalitpur",19.1759,72.9522,170
2,1100.478469,"Gorwa,Vadodara",22.3301,73.1611,23
3,1701.694915,"Bhatagaon,Raipur",21.152442,81.090184,50.2
1,451.0309278,"Shalimar Garden Extension II,Ghaziabad",28.689982,77.339807,14
3,2727.856226,"Rajarhat,Kolkata",22.54111,88.33778,85
2,1000,"Cantonment,Vizianagaram",18.11667,83.41667,30
3,1790.18976,"Sector-81 Gurgaon,Gurgaon",28.388225,76.946376,100
2,1100.352113,"Patuli GhoshPara,Kolkata",22.598675,88.438512,25
2,1232.162459,"Sector 80 Faridabad,Faridabad",28.381971,77.347688,44.9
1,497.988891,"Dharapur,Guwahati",26.13722,91.62778,26
3,1726.017442,"Kadugodi,Bangalore",12.995285,77.766797,95
3,1320.052802,"Kharadi,Pune",18.5438,73.9438,110
2,990.0990099,"New Shanti Nagar,Raipur",21.250076,81.660749,25
1,675.0441375,"Sector-35G Kharghar,Lalitpur",24.69028,78.41889,65
2,674.0361283,"Punkunnam,Thrissur",10.5339,76.2085,25
1,775.1114886,"Sector-99 Noida,Noida",28.543278,77.358896,36.5
2,718.1042049,"Powai,Lalitpur",19.12,72.91,180
4,3200,"Sector-150 Noida,Noida",28.429614,77.481711,180
2,945.1795841,"Giduri,Satna",24.586021,80.787404,30
2,1089.028042,"Laxmi Nagar,Maharashtra",20.07911,73.911636,160
2,942.1518749,"Mysore Road,Bangalore",12.96991,77.59796,50
2,1370,"Nirman Nagar,Jaipur",19.980678,79.297436,82.2
2,1265.111049,"Andalpuram,Madurai",9.90708,78.102316,90
3,1394.31121,"Dhokali,Lalitpur",24.69028,78.41889,100
2,800,"Chandapura,Bangalore",12.80009,77.71182,27
3,1505.144771,"Zirakpur,Chandigarh",30.662283,76.822397,62.9
3,1067.270375,"Shiv Mandir,Siliguri",25.232239,71.392013,33
3,1400.059577,"Kathreguppe,Bangalore",12.913771,77.768321,94
1,728.9473684,"Pratap Nagar,Jaipur",26.807408,75.838659,27.7
3,1293.103448,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,37.5
3,106469.0027,"Vishrantwadi,Lalitpur",24.69028,78.41889,9480
3,2939.624633,"Sector-65 Gurgaon,Gurgaon",28.403138,77.070052,390
2,1431.068385,"Sector-66A Mohali,Mohali",30.661104,76.746082,65.5
3,1350.063532,"BTM 1st Stage,Bangalore",12.96991,77.59796,85
1,750.1630789,"Pal Gam,Surat",21.189685,72.841062,23
3,1170.074459,"Ghodbunder Road,Lalitpur",24.69028,78.41889,99
2,1121.076233,"Dixit Nagar,Lalitpur",24.69028,78.41889,45
4,1904.761905,"Sector-44 Chandigarh,Chandigarh",30.714837,76.751896,100
4,7054.132802,"Sector-81 Gurgaon,Gurgaon",28.388225,76.946376,460
2,950.0285009,"Malad (East),Maharashtra",19.1758,72.8643,150
2,969.9321048,"Mylasandra,Bangalore",12.852041,77.616315,40
1,636.0078278,"Sector 35I Kharghar,Mumbai",19.038205,73.06612,52
4,4578.507945,"Sathya Sai Layout,Bangalore",12.929162,77.629041,340
1,700.0259269,"Wagholi,Pune",18.5823,73.983,27
3,1859.637775,"Majiwada,Lalitpur",19.218498,72.992114,230
3,1700.186606,"ISBT Tutikandi,Shimla",31.097061,77.154897,82
3,1847.187238,"Sector-86 Gurgaon,Gurgaon",28.397468,76.945489,110
1,509.5541401,"Panvel,Maharashtra",18.966114,73.148278,40
3,1427.424391,"Prince Anwar Shah Rd.,Kolkata",22.56972,88.36972,160
2,715.0518413,"Jaisinghpura,Jaipur",26.532207,75.520538,20
3,1393.214227,"Nehru Nagar,Bangalore",19.062322,72.880754,85
2,900.3215434,"Sector-127 Mohali,Mohali",30.768683,76.650876,22.4
2,1000,"Thane West,Mumbai",19.18,72.96333,120
2,800,"City Center,Gwalior",26.209302,78.194369,35
1,445.0304928,"Kasar vadavali,Maharashtra",20.084522,72.900306,54
2,1125.175809,"Bandepalya,Bangalore",12.96991,77.59796,56
2,1015.113918,"Mira Road,Maharashtra",19.283359,72.864964,90
2,1200.417537,"Katara Hills,Bhopal",23.185756,77.498465,23
1,1060.147122,"Devanahalli,Bangalore",13.23,77.7,49
3,1654.846336,"Kakkanad,Kochi",9.930471,76.271273,70
3,1175.121811,"Rajarhat,Kolkata",22.54111,88.33778,41
1,412.0213282,"Khodiyar Nagar,Vapi",20.379289,72.932048,8.5
3,1877.435352,"Sama Savli Road,Vadodara",22.340396,73.19706,53
2,1150.121065,"TC Palaya,Bangalore",50.817397,4.42145,38
2,910.0529101,"Vimal Nagar,Rajkot",22.281878,70.752639,43
2,1080,"KR Puram,Bangalore",13.010349,77.712151,32.4
3,1902.843071,"Binny Pete,Bangalore",12.96991,77.59796,170
1,850.4606662,"Bicholi Mardana,Indore",22.1764,75.8193,12
2,1051.223242,"Thane West,Lalitpur",19.18,72.96333,110
2,945.0617925,"Ghodbunder Road,Lalitpur",24.69028,78.41889,91
2,570.0958798,"Ashoka Garden,Bhopal",23.259859,77.427777,22
2,1050.070432,"Sector 19 Ulwe,Maharashtra",19.049989,73.077321,82
2,1785.060417,"Andheri (East),Mumbai",19.1145,72.8712,390
2,800,"Garia,Kolkata",22.403867,88.470006,35
2,750.0551511,"Kengeri,Bangalore",12.919987,77.489265,34
2,1129.908619,"Sector-16 Ulwe,Lalitpur",28.409274,77.322293,91.5
4,2857.142857,"Bicholi Mardana,Indore",22.1764,75.8193,120
2,896.6801117,"Zirakpur,Chandigarh",30.662283,76.822397,28.9
2,900.116144,"Udaya Nagar,Bangalore",16.198332,77.34239,31
3,1870.32419,"Kundli,Sonipat",28.874383,77.113251,75
2,1288.102262,"Hennur Road,Bangalore",13.0306,77.6485,78.6
4,2461.538462,"Vaishali Nagar,Jaipur",26.91868,75.750399,160
2,1066.408143,"Bhayli,Vadodara",22.288976,73.128222,22
4,4299.996417,"Andheri (West),Mumbai",19.139348,72.820458,1200
2,816.8491699,"Worli,Lalitpur",19.0167,72.8167,370
2,1261.625556,"Kundli,Sonipat",28.874383,77.113251,31.2
2,1160.092807,"Kodigehalli,Bangalore",13.0583,77.5732,45
2,828.7063893,"Kurar Village,Lalitpur",12.91668,77.59196,100
3,2015.021066,"KR Puram,Bangalore",13.010349,77.712151,110
3,2765.784114,"Ajmer Road,Jaipur",26.928785,75.828002,67.9
2,790.0334245,"Phase 1 Kammasandra,Bangalore",12.863492,77.74143,26
3,1358.024691,"Ekkaduthangal,Chennai",13.09,80.27,110
1,850.1594049,"Harinagar,Surat",21.800275,72.604993,24
2,1115.075825,"Sector 21 Ulwe,Mumbai",18.973908,73.025106,100
1,406.3088686,"DN Nagar,Maharashtra",20.742166,80.104602,110
2,1080.080235,"Kasba,Kolkata",22.519728,88.38573,70
4,3621.234302,"Nagavarapalya,Bangalore",12.96991,77.59796,470
6,10050.25126,"Sector-124 Noida,Noida",28.548382,77.327819,1200
3,1150.0069,"Chembur,Maharashtra",19.05871,72.89969,250
3,2489.40678,"Doddanekundi,Bangalore",12.980033,77.699328,94
3,1894.179894,"Naini,Allahabad",25.3945,81.8615,53.7
4,4000,"Sector-4 Vaishali,Ghaziabad",28.644695,77.338956,140
2,1269.146608,"Bicholi Hapsi,Indore",22.727017,75.934041,40.6
4,3458.366587,"Sector-78 Noida,Noida",28.560719,77.386208,260
2,835.2668213,"Naya Raipur,Raipur",29.9055,75.2547,25.2
2,1185.146168,"Rajarhat,Kolkata",22.54111,88.33778,90
3,1289.872756,"Devanahalli,Bangalore",13.23,77.7,74
3,2100,"MG Road,Kochi",11.931023,79.828222,210
4,3167.898627,"Pal Gam,Surat",21.189685,72.841062,150
4,433333.3333,"Mulanthuruthy,Kochi",9.893479,76.408774,65
2,845.007783,"Kundrathur,Chennai",12.9974,80.0966,38
1,850,"ZAGADE WASTI,Pune",21,77,27.2
2,923.0100988,"Ghodbunder Road,Lalitpur",24.69028,78.41889,85
3,1490.312966,"Ramavarappadu,Vijayawada",16.531879,80.670951,60
3,1480.019734,"Radha Vihar,Jaipur",26.222384,85.862108,60
3,1510.159253,"Begur Road,Bangalore",12.8706,77.6279,110
1,453.0166793,"Kolshet Road,Lalitpur",24.69028,78.41889,66
2,999.6079969,"Dabhoi,Vadodara",22.12947,73.41756,25.5
2,1000,"Narendra Nagar,Nagpur",21.105779,79.078497,30
3,1350.135014,"Electronics City Phase 1,Bangalore",12.840956,77.659441,60
3,1231.578947,"Kudlu,Bangalore",12.88784,77.654131,46.8
2,829.8850575,"Mangadu,Chennai",13.034709,80.105584,36.1
2,1069.782752,"Crossing Republik,Ghaziabad",28.629811,77.434197,32.5
1,610.0273241,"Bhandup (West),Maharashtra",19.147866,72.932609,96
4,2030.205496,"Sector-91 Mohali,Mohali",30.698017,76.679016,82
2,978.7377658,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,29
3,1503.225806,"Vaishali Nagar,Jaipur",26.91868,75.750399,46.6
2,804.8649615,"Bannerghatta Road,Bangalore",12.808137,77.58308,45
3,1400.051854,"Gopabandhu Nagar,Berhampur",20.277511,85.810411,54
2,1251.091068,"Sarthana Jakatnaka,Surat",21.235342,72.917751,43
3,1850.424056,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,48
2,711.0877008,"Anekal,Bangalore",12.732961,77.707059,27
